   x           y
      
   0           3       
   0.0317172   2.9994971
   0.0634343   2.9979887
   0.0951515   2.9954765
   0.1268687   2.991963 
   0.1585859   2.9874516
   0.190303    2.981947 
   0.2220202   2.9754546
   0.2537374   2.967981 
   0.2854545   2.9595338
   0.3171717   2.9501213
   0.3488889   2.9397531
   0.3806061   2.9284397
   0.4123232   2.9161923
   0.4440404   2.9030233
   0.4757576   2.888946 
   0.5074747   2.8739745
   0.5391919   2.8581239
   0.5709091   2.8414101
   0.6026263   2.8238499
   0.6343434   2.805461 
   0.6660606   2.7862619
   0.6977778   2.7662719
   0.7294949   2.7455111
   0.7612121   2.7240004
   0.7929293   2.7017615
   0.8246465   2.6788166
   0.8563636   2.6551889
   0.8880808   2.6309022
   0.919798    2.6059809
   0.9515152   2.58045  
   0.9832323   2.5543352
   1.0149495   2.5276628
   1.0466667   2.5004597
   1.0783838   2.4727531
   1.110101    2.444571 
   1.1418182   2.4159418
   1.1735354   2.3868941
   1.2052525   2.3574572
   1.2369697   2.3276608
   1.2686869   2.2975348
   1.300404    2.2671095
   1.3321212   2.2364155
   1.3638384   2.2054837
   1.3955556   2.1743452
   1.4272727   2.1430314
   1.4589899   2.1115736
   1.4907071   2.0800037
   1.5224242   2.0483532
   1.5541414   2.0166541
   1.5858586   1.9849383
   1.6175758   1.9532376
   1.6492929   1.921584 
   1.6810101   1.8900092
   1.7127273   1.8585451
   1.7444444   1.8272233
   1.7761616   1.7960752
   1.8078788   1.7651323
   1.839596    1.7344256
   1.8713131   1.7039861
   1.9030303   1.6738443
   1.9347475   1.6440307
   1.9664646   1.614575 
   1.9981818   1.5855071
   2.029899    1.5568561
   2.0616162   1.5286509
   2.0933333   1.5009198
   2.1250505   1.4736907
   2.1567677   1.4469911
   2.1884848   1.4208477
   2.220202    1.3952868
   2.2519192   1.3703343
   2.2836364   1.3460151
   2.3153535   1.3223537
   2.3470707   1.299374 
   2.3787879   1.2770991
   2.4105051   1.2555513
   2.4422222   1.2347524
   2.4739394   1.2147232
   2.5056566   1.1954839
   2.5373737   1.1770539
   2.5690909   1.1594517
   2.6008081   1.142695 
   2.6325253   1.1268006
   2.6642424   1.1117846
   2.6959596   1.097662 
   2.7276768   1.0844471
   2.7593939   1.0721532
   2.7911111   1.0607925
   2.8228283   1.0503766
   2.8545455   1.0409159
   2.8862626   1.03242  
   2.9179798   1.0248974
   2.949697    1.0183555
   2.9814141   1.0128012
   3.0131313   1.0082398
   3.0448485   1.0046761
   3.0765657   1.0021135
   3.1082828   1.0005547
   3.14        1.0000013
